date,depth,k
1969-03-29,0.55,2.04
1969-04-01,0.5,0.57
1969-04-25,0.25,2.5
1969-05-16,0.41,0.432
1969-06-02,0.39,1.7
1969-07-01,0.37,-0.35
1969-07-25,0.4,2
1970-02-14,0.4,2.1
1970-02-14,0.2,2.1
