date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
1990049,195,208.5585879,46.3671394,5372,367,115
1990065,418.5291556,433.5184781,94.1846025,5372,712,234
1990081,590.54896,585.8289706,91.8926804,5372,808,340
1990097,813.5687167,813.1755855,60.0418625,5372,995,471
1990113,1289.5790559,1280.03311,89.4150503,5372,1650,744
1990129,1459.5945334,1441.3721695,92.8154508,5372,1816,796
1990145,1389.4733438,1368.296479,88.3450246,5372,1637,730
1990161,1365.4021985,1368.1874245,116.1620334,5372,1627,741
1990177,1133.4966547,1216.1080345,170.2394162,5372,1611,714
1990193,1105.4902269,1126.0322104,85.4297318,5372,1478,690
1990209,1205.5003712,1195.4152216,91.674509,5372,1517,709
1990225,1065.4593675,1036.2973866,89.7217541,5372,1258,549
1990241,1029.4667256,1036.348836,80.6271651,5372,1349,642
1990257,997.3851922,989.9965027,60.8240418,5372,1228,598
1990273,722.4735005,720.9261239,57.904988,5372,904,424
1990289,512.4725821,514.1296354,48.2156848,5372,665,307
1990305,390.4596693,396.7652623,60.7472018,5372,590,257
1990321,250.5452871,260.5590683,52.3463787,5372,426,158
1990337,200,211.0423885,45.2000175,5372,350,113
1990353,144,152.1933627,32.171708,5372,248,83
1991001,141,150.1286775,35.1791756,5372,278,81
1991017,151,161.6008748,40.7988888,5372,325,81
1991033,195,206.3433293,47.8205975,5372,354,102
1991049,256.5293592,270.1179387,54.7591938,5372,440,140
1991065,416.5526076,430.4536739,67.4113986,5372,638,244
1991081,813.6437513,815.1485531,73.4990463,5372,1151,409
1991097,1061.6170719,1053.7444076,62.6646372,5372,1462,536
1991113,1349.4143466,1333.3909199,75.3630956,5372,1747,771
1991129,1165.5118275,1152.6484436,68.5064568,5372,1483,672
1991145,1365.3743335,1366.3604961,102.8157249,5372,1739,796
1991161,1189.4324882,1192.3301066,87.6203671,5372,1518,698
1991177,1161.3938158,1175.7400867,115.357083,5372,1554,745
1991193,1145.6652011,1145.7976888,109.2855943,5372,1455,721
1991209,1249.601494,1235.5705985,81.2964591,5372,1596,733
1991225,1233.5885551,1210.2626944,91.1517003,5372,1683,693
1991241,1085.3372573,1088.3088029,73.7535218,5372,1543,710
1991257,933.5096014,929.9769549,53.5131462,5372,1222,570
1991273,809.4976491,807.5567034,51.2002829,5372,1093,480
1991289,518.5101067,522.8554071,56.9714585,5372,748,334
1991305,254.4798295,262.8958308,46.1118505,5372,433,167
1991321,232.3660805,243.5222018,52.650195,5372,420,138
1991337,156,166.9985412,39.3324588,5372,280,98
1991353,92,98.9088614,23.7695163,5372,163,52
1992001,161,171.637642,41.5870707,5372,291,85
1992017,127,135.7341894,35.6282952,5372,246,32
1992033,170,180.7091211,41.4162064,5372,300,87
1992049,318.4666746,335.1466723,64.9053841,5372,532,150
1992065,330.524388,341.4441399,54.032319,5372,552,184
1992081,434.5676991,432.8531415,46.2127644,5372,666,228
1992097,893.4883281,892.0810642,60.6469643,5372,1218,437
1992113,1197.49955,1188.8969932,75.2321835,5372,1495,648
1992129,1475.6202347,1453.683354,90.0530526,5372,1824,822
1992145,1289.5182753,1273.2144357,76.9307019,5372,1555,700
1992161,1229.4750953,1214.0340767,72.5673707,5372,1503,669
1992177,1261.3568745,1265.7517782,81.6163367,5372,1691,786
1992193,1109.5030318,1124.457199,99.0595913,5372,1544,759
1992209,1197.6548994,1184.5291081,94.4770751,5372,1469,649
1992225,1169.7536724,1167.3812976,86.2354537,5372,1429,604
1992241,1053.3844897,1060.7592643,63.6135188,5372,1416,651
1992257,1001.4254341,990.5370008,49.9357383,5372,1260,587
1992273,833.4882999,830.6566795,51.0925045,5372,1047,450
1992289,510.5167724,515.5026628,53.6108333,5372,718,321
1992305,294.5120626,302.2139932,44.3020752,5372,455,183
1992321,241,250.8897371,47.0234326,5372,394,144
1992337,120,128.0749793,29.7742914,5372,215,79
1992353,156,165.5588836,36.4874364,5372,266,92
1993001,149,157.5507888,35.4410603,5531,259,78
1993017,144,153.4653388,35.3173295,5531,275,70
1993033,159,168.9098532,36.9268561,5531,288,79
1993049,136,145.1769238,31.2371043,5531,266,72
1993065,206.4906436,218.0033485,42.4272836,5531,401,109
1993081,520.4340426,520.1983569,68.9480074,5531,744,288
1993097,953.5878273,948.6140411,80.1605578,5531,1133,584
1993113,1197.537046,1170.4724664,93.5805913,5531,1317,631
1993129,1437.5202935,1409.3586892,114.417484,5531,1594,841
1993145,1337.5198281,1315.2219603,102.7634019,5531,1536,768
1993161,1145.4936907,1144.973541,95.5415053,5531,1427,607
1993177,909.4744983,922.4682866,101.4543052,5531,1251,574
