name,site_no,identifier,lat,lon,site_id
"ENO RIVER AT HILLSBOROUGH, NC",02085000,USGS-02085000,36.071111,-79.095556,eno_hillsborough
ENO RIVER AT COLE MILL RD NR HUCKLEBERRY SPRING,02085039,USGS-02085039,36.059417,-78.978083,eno_colemill
"ENO RIVER NEAR DURHAM, NC",02085070,USGS-02085070,36.072222,-78.907778,eno_roxboro
"SANDY CREEK AT CORNWALLIS RD NEAR DURHAM, NC",0209722970,USGS-0209722970,35.983222,-78.956806,sandy_cornwallis
"THIRD FORK CREEK AT M.L. KING PARKWAY AT DURHAM,NC",0209725960,USGS-0209725960,35.951181,-78.926942,thirdfork_mlk
"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC",02097280,USGS-02097280,35.922639,-78.952417,thirdfork_woodcroft
"NEW HOPE CREEK NEAR BLANDS, NC",02097314,USGS-02097314,35.885,-78.965278,nhc_blands
