date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,msgs.fit,warnings,errors,site
2017-01-01,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-01-02,0.023870342817028958,-0.09324800441898005,0.1434024352565378,-1.0742615608723287,-1.3261935152637911,-0.8203937215697961,w      ,,,nhc
2017-01-03,0.11549088404173619,0.001501875623128722,0.23346478820396382,-1.1467201093663546,-1.4120322807571062,-0.8899051091218612,w      ,,,nhc
2017-01-04,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-01-05,0.08088071019747557,-0.04389081433924174,0.20745552154420902,-0.5380548755851172,-0.7821082656434939,-0.3017642822344127,w      ,,,nhc
2017-01-06,0.022757901617763608,-0.10231883953219453,0.1463052336798953,-0.5128829587846546,-0.7508577297991966,-0.2739775310022582,w      ,,,nhc
2017-01-07,-0.007052498886638659,-0.13893620521452482,0.11599786240303409,-0.09839264159341815,-0.3231369531097227,0.1240896395450108,w      ,,,nhc
2017-01-08,8.603640468712973e-4,-0.12779842485607415,0.1212511525838314,-0.12714880193713812,-0.3288863926911127,0.09025184007192913,w      ,,,nhc
2017-01-09,0.07231316870218849,-0.04707259543963233,0.19897310866324705,-0.18616115769250405,-0.4059936843078211,0.03498310483226359,w      ,,,nhc
2017-01-10,0.05664950080840993,-0.06883596648141634,0.17463418204415318,-0.23155128487081458,-0.44179825312594667,-0.009571573015341095,w      ,,,nhc
2017-01-11,0.015617871991378216,-0.11454362283996453,0.14161075653858432,-0.20643605193870956,-0.4254653998941136,0.011469508196298168,w      ,,,nhc
2017-01-12,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-01-13,0.12641259646219788,9.275604634355222e-5,0.24739382932451381,-0.7324291981754394,-0.9551427111838285,-0.5103205709478607,w      ,,,nhc
2017-01-14,0.04017571633534506,-0.0861921832841402,0.16199819554132064,-0.5370662458426789,-0.7627933060636768,-0.3069770532492647,w      ,,,nhc
2017-01-15,0.06873635304045489,-0.05752846028072172,0.19528519697038585,-0.4775440348175707,-0.6911339315496219,-0.25821928316491805,w      ,,,nhc
2017-01-16,-0.03316578211570698,-0.16414570618609234,0.09316240085142796,-0.34307110210576003,-0.5615854940296743,-0.12264093237811845,w      ,,,nhc
2017-01-17,0.0482399112601912,-0.08269175241872108,0.18283215013660534,-0.4439086731501405,-0.6564037323358006,-0.23787402803339858,w      ,,,nhc
2017-01-18,0.056004933350779634,-0.0836205697605608,0.18778472539910954,-0.4525323633889898,-0.6820765739447618,-0.23551708592463008,w      ,,,nhc
2017-01-19,0.06424780328999993,-0.06943243798099802,0.20144736671809355,-0.28668496651518405,-0.4875044507473641,-0.058437545196011825,w      ,,,nhc
2017-01-20,0.3305961632930299,0.20419004762969992,0.45826375843951966,-0.7276643422402187,-0.9602826158071244,-0.49163633207216384,w      ,,,nhc
2017-01-21,0.3730860158805434,0.2384643562532031,0.49695277357407297,-0.8959527250793018,-1.13641811320003,-0.6391592914858436,w      ,,,nhc
2017-01-22,0.37151358816281793,0.24836148171165431,0.49763606468857485,-1.0514324577711536,-1.297273651907342,-0.7897940139004865,w      ,,,nhc
2017-01-23,-0.28879858776270706,-0.4136864389176329,-0.16578522391419495,-0.9617616118681624,-1.290918289290321,-0.6544926569990595,w      ,,,nhc
2017-01-24,0.10459884856864088,-0.024426047788532752,0.22939309671256974,-0.7837033454903518,-1.0756586450380248,-0.5073511518679346,w      ,,,nhc
2017-01-25,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-01-26,0.3129960562932147,0.1737997703277457,0.45041296082089055,-0.7526290769641562,-1.005778416451183,-0.4902818445908778,w      ,,,nhc
2017-01-27,0.3623451608500783,0.22398742798684912,0.499134088264063,-0.5569242478887446,-0.8055824470574879,-0.3140853570378776,w      ,,,nhc
2017-01-28,0.35376983381920735,0.22141092581676147,0.48795843809388345,-0.474860632528157,-0.6898016136401508,-0.24606599411210314,w      ,,,nhc
2017-01-29,0.363821689161294,0.2342746095410967,0.4967031201241805,-0.4304175886972307,-0.6556110155748658,-0.21878516849813817,w      ,,,nhc
2017-01-30,0.3543658804045785,0.2179026865668981,0.486122391142753,-0.3636943701333546,-0.5875391143857616,-0.14690302691886542,w      ,,,nhc
2017-01-31,0.37041230546065707,0.23820539412568198,0.5047990260475389,-0.37991927803683073,-0.5906466958233695,-0.17086751988608997,w      ,,,nhc
2017-02-01,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-02-02,0.5231000948359982,0.3921738673381786,0.6584754210534004,-0.5662726434976227,-0.7881453452829442,-0.35566308633366467,w      ,,,nhc
2017-02-03,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-02-04,0.22332163619573708,0.09249685389271321,0.35093698111755,-0.20902970909205348,-0.4180245329420421,0.017098114119864952,w      ,,,nhc
2017-02-05,0.3232173353533581,0.19298590862616713,0.4518520324848333,-0.4067654095060774,-0.6246671719643315,-0.18666879308045858,w      ,,,nhc
2017-02-06,0.41517632536763216,0.27359625151060624,0.5431881984508244,-0.5353679917176047,-0.7429797438847014,-0.3154883274031459,w      ,,,nhc
2017-02-07,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-02-08,0.6682693190892355,0.5360601703976605,0.7990315117347689,-0.8275040305038504,-1.0374224473720257,-0.5979548351693799,w      ,,,nhc
2017-02-09,NA,NA,NA,NA,NA,NA,w     E,,,nhc
2017-02-10,0.6012844632319044,0.46339271202894444,0.7426235833788334,-0.5500755814766041,-0.7783792031000606,-0.3211935710323194,w      ,,,nhc
