date,K600,K600.lower,K600.upper,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,msgs.fit,warnings,errors,site,DO_mgl,DO.sat,temp.water,depth,discharge
2017-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,nhc,11.894631578947369,12.465384462350226,6.087770833333334,0.24856605767852066,2264.3749532862794
2017-01-02,15.283736973224947,13.256393207433625,17.24665943027511,0.030883689412398302,-0.08717629747604294,0.15139442892188243,-1.6072351211616225,-1.8967561419500514,-1.339100432993356,w      ,,,nhc,11.565208333333333,11.80992738358452,8.201458333333333,0.5342422252553536,8103.083927575384
2017-01-03,15.665678935343998,13.706625740714161,17.682358523209103,0.20057465347952874,0.08382536447080156,0.3273019618176111,-1.8050948319321845,-2.072922120633252,-1.5163701149551705,w      ,,,nhc,11.084166666666667,11.323953026572287,9.336583333333333,0.44711224196245963,8103.083927575384
2017-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,nhc,10.735942028985507,11.090017334188259,10.336289855072463,0.3336154711741546,7249.396270819775
2017-01-05,8.625994059640835,6.849666890248786,10.453672380762946,0.050577099197806855,-0.07201670634962942,0.1779510067261042,-0.6368566993440635,-0.8782463296935092,-0.38052591354653126,w      ,,,nhc,11.398958333333333,11.803771774825425,7.90946875,0.3166247734950019,2980.9579870417283
2017-01-06,9.210315753267409,7.235415871880584,11.233860372701706,-0.006588042398617865,-0.12171533241230761,0.11640030401322642,-0.6432478975286605,-0.9100439296334151,-0.3833543153588999,w      ,,,nhc,11.784166666666666,12.184440146845946,6.802427083333334,0.27381076545391825,2980.9579870417283
2017-01-07,7.984489916507615,6.183663989039205,9.837511020287536,-0.03522762824532592,-0.1677708386663087,0.09307931124467629,-0.1587597410757988,-0.3968203623758828,0.08588348899645354,w      ,,,nhc,13.067395833333334,13.557092008688265,2.9616458333333333,0.2743968276108348,2666.9038489395166
2017-01-08,4.958214447135793,3.006103871187606,6.886817362847208,0.04685318043647202,-0.08220733032081404,0.17159299886349222,-0.06364271128205565,-0.28219867706226387,0.15546736465073677,w      ,,,nhc,14.305833333333334,14.560343308398796,0.7929583333333333,0.2594185626715724,1096.6331584284585
2017-01-09,5.930196868570103,3.808240125426946,8.028789642212073,0.08107676153656118,-0.04403790368097442,0.20757357740486593,-0.17090249250205328,-0.3779281404664875,0.03651741996359213,w      ,,,nhc,14.712083333333334,14.80607032394929,0.26957291666666666,0.26065071292690517,1410.6872965306702
2017-01-10,9.144956716286636,7.152321835133965,11.059344703704099,0.039098190190662144,-0.08168787562795826,0.16381803373161066,-0.23162024939362316,-0.4292887095663994,-0.019714956858688196,w      ,,,nhc,14.458333333333334,14.505854873146882,0.6946041666666667,0.26334958606957076,2666.9038489395166
2017-01-11,7.735836095692648,5.929659146489948,9.658331941029786,0.009387796913766844,-0.12139381897123508,0.1384785690295805,-0.20863614281438952,-0.4143049971791259,0.021203244407643946,w      ,,,nhc,13.938333333333333,13.996916995512912,1.8493125000000001,0.2673021146273262,2264.3749532862794
2017-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,nhc,13.202,13.281488540948342,3.8460736842105265,0.3865711160562404,8103.083927575384
2017-01-13,11.330738474057025,9.415505439052485,13.140624576517645,0.06087771063478202,-0.058254650527733425,0.17772191138606583,-0.8028020661315698,-1.0247274326789777,-0.5894170054253688,w      ,,,nhc,12.112916666666667,12.240271585131211,7.085885416666667,0.38388665260268373,7249.396270819775
2017-01-14,7.838660346794182,5.995163621041698,9.624945614922483,0.018578543913338283,-0.11357286692568144,0.14223983564278364,-0.5796363768982218,-0.8179275373297964,-0.36071354622405255,w      ,,,nhc,11.5515625,11.80934720093357,8.636479166666666,0.33065619132902285,2980.9579870417283
2017-01-15,6.773805567617353,5.094109911795407,8.484407590479336,0.04946322006170207,-0.08394417907846449,0.1867969303274949,-0.49748713569000835,-0.7315160332467325,-0.2787984218346058,w      ,,,nhc,11.5209375,11.770959839361726,8.53996875,0.30640995815123195,2980.9579870417283
2017-01-16,6.735863154676337,5.044552162676778,8.356603164680928,-0.05755500755882814,-0.19236428965865926,0.08225689446931528,-0.3702990181345167,-0.5979695469632693,-0.15203900466591813,w      ,,,nhc,11.384791666666667,11.669823350153804,8.98396875,0.2910214929799667,2980.9579870417283
2017-01-17,5.981523142735599,4.455986862664786,7.651734574995603,0.033615938859952954,-0.10270201577551957,0.16400271135096078,-0.45380752530761376,-0.6763514042317864,-0.2449079857652103,w      ,,,nhc,11.270520833333332,11.498461755982039,9.323614583333333,0.280386614856636,2980.9579870417283
2017-01-18,5.599357324195035,4.004358779847417,7.148729193746958,0.04297392762580765,-0.08769752950465284,0.17698009196686482,-0.4664300439220415,-0.6827571340446843,-0.23587011089604823,w      ,,,nhc,10.7853125,11.054237238332247,10.733770833333333,0.274880150316413,2980.9579870417283
2017-01-19,4.955781682762996,3.4161776839399707,6.442116251022713,0.0737788723374673,-0.06759551519880959,0.2170612413436463,-0.2775771856241643,-0.49655364006326613,-0.07661210926136498,w      ,,,nhc,11.027083333333334,11.35773706034999,9.622114583333333,0.2758537857996699,2666.9038489395166
2017-01-20,3.8617363541006555,2.1144097640948956,5.548009756014084,0.3288350171489025,0.20739590213183093,0.4449735951932539,-0.5883828619725116,-0.8184112969492514,-0.35180717539095424,w      ,,,nhc,11.085989583333333,11.406399261285818,9.248833333333334,0.22921461094387577,1096.6331584284585
