year,n,RBI,peak_Q,ar_1,median,mean,cumulative,q05
1928,366,0.6397478214945866,71.07528494592002,0.42645172105685136,0.9061390909440001,2.3439540556044594,74121452.72794646,0.31148531251200007
1929,365,0.3492320844264953,98.25945767424001,0.2784422566168332,2.067129801216,2.6317599642203184,82995182.23165196,0.45306954547200007
1930,365,0.5051416829494272,36.52873210368001,0.2858724887689963,0.538020085248,0.8457117161206883,26670364.679582022,0.11326738636800002
1931,365,0.8270871939419092,63.42973636608001,0.22798066182412274,0.6512874716160001,1.8881285405537493,59544021.65490304,0.11893075568640002
1932,366,0.5230450665155985,51.53666079744001,0.641156890110716,0.8495053977600001,1.980283734823869,62621324.37609431,0.04884656037120001
1933,365,0.5431784017798088,14.045155909632003,0.41997067731140125,0.2435248806912,0.6451198296870576,20344498.94901105,0.06342973636608001
1934,365,0.6913110989461216,67.39409488896001,0.32574536325804027,1.1043570170880002,2.2533305231487653,71061031.37801945,0.39643585228800005
1935,365,0.6869608445185249,59.46537784320001,0.443121637705802,0.9061390909440001,2.387715294838251,75298989.53801909,0.15460998239232004
1936,366,0.6469242717620274,56.63369318400001,0.48385576074390324,0.8495053977600001,2.9088674082715285,91985368.73132557,0.28316846592000006
1937,365,0.5107345635202272,20.048327387136002,0.4392588617302858,1.076040170496,1.7489725741645152,55155599.09885216,0.538020085248
1938,365,0.739329310297319,71.35845341184002,0.47601210513577075,1.0477233239040002,2.8154703552610196,88788673.12351151,0.339802159104
1939,365,0.6695858645039934,42.758438353920006,0.4770614634751813,1.0477233239040002,2.515854844197173,79339998.36660205,0.42475269888000006
1940,366,0.5302156020755054,30.015857387520004,0.5504674820865814,0.7928717045760001,1.3837189560890757,43756514.31703118,0.1444159176192
1941,365,0.6261841900916291,21.520803409920003,0.3517190198529447,0.20954466478080006,0.6494022678565875,20479549.919125345,0.014158423296000002
1942,365,0.7112245402301434,28.600015057920004,0.32301837501630415,0.8495053977600001,1.7266061443769165,54450251.36907043,0.24635656535040001
1943,365,0.5485447535043264,19.878426307584004,0.581367545132746,0.4813863920640001,1.2032254809149723,37944918.76613457,0.10760401704960001
1944,366,0.7382760898282695,60.31488324096001,0.27871909088235713,0.9627727841280002,2.342716160671476,74082307.51921767,0.19821792614400002
1945,365,0.642887842923485,129.40798892544,0.5697402463252115,1.076040170496,2.960250900767843,93354472.40661468,0.3454655284224
1946,365,0.6289688539461747,69.09310568448001,0.24052813660807418,0.7928717045760001,1.4880386513493569,46926786.908953324,0.23502982671360007
