site,date,k_md,k_md_sd
NHC,2017-06-27,0.27520074203824724,0.024043213223897228
Mud,2017-05-17,6.5815147108309695,0.16956312305386434
UNHC,2017-07-11,0.2197504949373483,0.0299001771668426
