date,K600,K600.lower,K600.upper,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,msgs.fit,warnings,errors,site,DO_mgl,DO.sat,temp.water,depth,discharge
2019-06-16,1.1290408457286087,0.10776689210394746,2.5674735833325117,0.26900337998134505,-0.071217109914805,0.617421084481405,-0.7668880841123881,-1.4070534358256255,-0.16444481473951922,w      ,,,wb,7.810104166666666,8.75184781242198,21.678347916666667,0.28108406561217764,0.2792449189564222
2019-06-17,1.2359858112560185,0.11348945008478231,2.6458231412784103,0.2421326449702662,-0.10049406016676247,0.5956211369965975,-0.7593240728797142,-1.5069129708196982,-0.10970002869444742,w      ,,,wb,7.395208333333334,8.456425772980984,23.496219791666668,0.28028670859105603,0.2765647422549828
2019-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,7.356421052631579,8.30452233526924,24.327971875,0.30802407776012164,0.4764901590194593
2019-06-19,2.4015948598228802,0.9102457774459972,3.9349303759831114,-0.04274770156269522,-0.39303364454937173,0.3028279148953553,-0.7609600575097466,-1.6029914128509928,0.06854376137661132,w      ,,,wb,7.631770833333333,8.437413040324493,23.167540625,0.43710778447795284,1.3140211518610103
2019-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,7.097578947368421,8.332486108431624,23.71265,0.3271307865781067,0.4682855772312531
2019-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,7.238617021276596,8.44486605215579,23.371594791666666,0.3157431873971313,0.4151180593030716
2019-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,7.384315789473685,8.502242308014342,23.210319791666667,0.2999201324192582,0.34843988609532606
2019-06-23,1.006075768196192,0.08627329799950703,2.376881333692146,0.22499974780966836,-0.10571112591805067,0.556695305261207,-0.6469918714537468,-1.357666105159739,0.03449329779470952,w      ,,,wb,7.399375,8.536090814845387,22.989861458333333,0.2901062502323345,0.31100875358564684
2019-06-24,0.9970274487931957,0.07552561443155378,2.3455978272333615,0.2062056351917151,-0.12045937121572212,0.5546933316727897,-0.6428087414034636,-1.3205455979307885,0.007738719395653157,w      ,,,wb,7.254479166666667,8.369048788801685,23.798055208333334,0.28462416435709675,0.2914181497083031
2019-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,w     E,,,wb,7.169789473684211,8.23722864003934,24.814854166666667,0.28033325174413315,0.277208982849179
