DateTime,1,variable,statistic
1977-02-01T00:00:00Z,55.80319,ppt,MEAN
1977-03-01T00:00:00Z,138.0681,ppt,MEAN
1977-04-01T00:00:00Z,47.949368,ppt,MEAN
1977-05-01T00:00:00Z,84.32893,ppt,MEAN
1977-06-01T00:00:00Z,47.749043,ppt,MEAN
1977-07-01T00:00:00Z,22.883217,ppt,MEAN
1977-08-01T00:00:00Z,100.82154,ppt,MEAN
1977-09-01T00:00:00Z,139.9732,ppt,MEAN
1977-10-01T00:00:00Z,131.4327,ppt,MEAN
1977-11-01T00:00:00Z,71.393234,ppt,MEAN
1977-12-01T00:00:00Z,99.4584,ppt,MEAN
1978-01-01T00:00:00Z,226.41693,ppt,MEAN
1978-02-01T00:00:00Z,29.674395,ppt,MEAN
1978-03-01T00:00:00Z,131.88943,ppt,MEAN
1978-04-01T00:00:00Z,155.5772,ppt,MEAN
1978-05-01T00:00:00Z,124.606926,ppt,MEAN
1978-06-01T00:00:00Z,103.498024,ppt,MEAN
1978-07-01T00:00:00Z,109.39491,ppt,MEAN
1978-08-01T00:00:00Z,129.69879,ppt,MEAN
1978-09-01T00:00:00Z,50.639652,ppt,MEAN
1978-10-01T00:00:00Z,39.37186,ppt,MEAN
1978-11-01T00:00:00Z,115.50835,ppt,MEAN
1978-12-01T00:00:00Z,94.38031,ppt,MEAN
1979-01-01T00:00:00Z,164.43246,ppt,MEAN
1979-02-01T00:00:00Z,165.30617,ppt,MEAN
1979-03-01T00:00:00Z,72.90707,ppt,MEAN
1979-04-01T00:00:00Z,98.179344,ppt,MEAN
1979-05-01T00:00:00Z,140.77057,ppt,MEAN
1979-06-01T00:00:00Z,133.2855,ppt,MEAN
1979-07-01T00:00:00Z,81.27244,ppt,MEAN
1979-08-01T00:00:00Z,55.034412,ppt,MEAN
1979-09-01T00:00:00Z,207.59358,ppt,MEAN
1979-10-01T00:00:00Z,62.698414,ppt,MEAN
1979-11-01T00:00:00Z,172.4367,ppt,MEAN
1979-12-01T00:00:00Z,26.763256,ppt,MEAN
1980-01-01T00:00:00Z,108.215996,ppt,MEAN
1980-02-01T00:00:00Z,59.036064,ppt,MEAN
1980-03-01T00:00:00Z,166.37643,ppt,MEAN
1980-04-01T00:00:00Z,63.467438,ppt,MEAN
1980-05-01T00:00:00Z,114.53554,ppt,MEAN
1980-06-01T00:00:00Z,203.05896,ppt,MEAN
1980-07-01T00:00:00Z,91.48248,ppt,MEAN
1980-08-01T00:00:00Z,32.393856,ppt,MEAN
1980-09-01T00:00:00Z,80.123024,ppt,MEAN
1980-10-01T00:00:00Z,108.645256,ppt,MEAN
1980-11-01T00:00:00Z,66.51346,ppt,MEAN
1980-12-01T00:00:00Z,40.122166,ppt,MEAN
1981-01-01T00:00:00Z,26.667963,ppt,MEAN
1981-02-01T00:00:00Z,68.84872,ppt,MEAN
1981-03-01T00:00:00Z,67.6764,ppt,MEAN
1981-04-01T00:00:00Z,37.49099,ppt,MEAN
1981-05-01T00:00:00Z,108.18203,ppt,MEAN
1981-06-01T00:00:00Z,81.79662,ppt,MEAN
1981-07-01T00:00:00Z,173.03029,ppt,MEAN
1981-08-01T00:00:00Z,172.72746,ppt,MEAN
1981-09-01T00:00:00Z,94.1513,ppt,MEAN
1981-10-01T00:00:00Z,98.321106,ppt,MEAN
1981-11-01T00:00:00Z,17.190723,ppt,MEAN
1981-12-01T00:00:00Z,101.59554,ppt,MEAN
1982-01-01T00:00:00Z,143.54912,ppt,MEAN
1982-02-01T00:00:00Z,115.695404,ppt,MEAN
1982-03-01T00:00:00Z,75.41824,ppt,MEAN
1982-04-01T00:00:00Z,92.69955,ppt,MEAN
1982-05-01T00:00:00Z,129.55032,ppt,MEAN
1982-06-01T00:00:00Z,239.80496,ppt,MEAN
1982-07-01T00:00:00Z,124.199104,ppt,MEAN
1982-08-01T00:00:00Z,100.80283,ppt,MEAN
1982-09-01T00:00:00Z,47.93385,ppt,MEAN
1982-10-01T00:00:00Z,126.83032,ppt,MEAN
1982-11-01T00:00:00Z,64.266594,ppt,MEAN
1982-12-01T00:00:00Z,144.96585,ppt,MEAN
1983-01-01T00:00:00Z,50.989815,ppt,MEAN
1983-02-01T00:00:00Z,133.72644,ppt,MEAN
1983-03-01T00:00:00Z,207.09416,ppt,MEAN
1983-04-01T00:00:00Z,116.700264,ppt,MEAN
1983-05-01T00:00:00Z,160.66542,ppt,MEAN
1983-06-01T00:00:00Z,68.09976,ppt,MEAN
1983-07-01T00:00:00Z,25.963884,ppt,MEAN
1983-08-01T00:00:00Z,75.0651,ppt,MEAN
1983-09-01T00:00:00Z,52.749016,ppt,MEAN
1983-10-01T00:00:00Z,131.93799,ppt,MEAN
