date,tmean_med,tmean_mean,tmean_std,tmean_cnt,tmean_max,tmean_min
19810206,-2.6000001,-2.6724782,0.4565589,8,-2.1440001,-3.5860002
19810207,0.8650001,0.820857,0.4671552,8,1.4080001,-0.173
19810208,1.309,1.2761475,0.4516372,8,1.96,0.344
19810209,1.483,1.4340139,0.4380737,8,1.9440001,0.511
19810210,1.419,1.4055754,0.1977662,8,1.7270001,1.0430001
19810211,9.2900009,9.2572561,0.0839791,8,9.3980007,9.1130009
19810212,3.7720001,3.7269563,0.2283886,8,4.0030003,3.2470002
19810213,-4.5090003,-4.5464563,0.1908903,8,-4.2810001,-4.927
19810214,-1.064,-1.0498106,0.1192673,8,-0.7460001,-1.1340001
19810215,4.6680002,4.6293296,0.3734207,8,5.1710005,3.8850002
19810216,6.8030005,6.7461076,0.4305817,8,7.3360004,5.8540001
19810217,9.0210009,8.9968172,0.3688111,8,9.585,8.2680006
19810218,13.1550007,13.109888400000001,0.2523177,8,13.4570007,12.5700006
19810219,16.1690006,16.124871,0.4181058,8,16.6050014,15.236001
19810220,12.7520008,12.7351161,0.1761431,8,13.0480003,12.3980007
19810221,12.9810009,12.9526688,0.1613077,8,13.1340008,12.6160002
19810222,13.9630003,13.9579862,0.0353403,8,14.0110006,13.8960009
19810223,13.8070011,13.8274965,0.0866343,8,14.026001,13.750001
19810224,10.625001,10.6481562,0.1499201,8,10.9240007,10.4640007
19810225,6.1590004,6.1467581,0.1489753,8,6.3530002,5.9400001
19810226,9.5960007,9.6074627,0.2962931,8,10.1600008,9.0900002
19810227,7.3460002,7.4138717,0.1784679,8,7.8470006,7.2520003
19810228,8.6810007,8.698725,0.1016254,8,8.9130001,8.5580006
19810301,13.868001,13.8259769,0.2499169,8,14.2310009,13.3310003
19810302,13.703001,13.7476895,0.326479,8,14.3490009,13.2340002
19810303,8.6270008,8.6597048,0.3229357,8,9.2290001,8.118
19810304,4.408,4.40612,0.3616019,8,5.1440001,3.8140001
19810305,6.3090005,6.3363221,0.1414363,8,6.6750002,6.2300005
19810306,7.2310004,7.2250443,0.2415682,8,7.6430001,6.7700005
19810307,5.3280001,5.3533013,0.1789598,8,5.7870002,5.1830001
19810308,3.4120002,3.4190164,0.2590518,8,3.9430001,3.0230002
19810309,4.8950005,4.891095,0.1831078,8,5.2970004,4.6750002
19810310,5.8100004,5.8444896,0.1880645,8,6.3200002,5.7020001
19810311,5.4970002,5.4676696,0.333179,8,6.0760002,4.8770003
19810312,7.1080003,7.1630042,0.1812019,8,7.5920005,6.9910002
19810313,6.5100002,6.4608158,0.3608444,8,7.0950003,5.7790003
19810314,10.4940004,10.5453725,0.337741,8,11.3150005,10.0820007
19810315,3.3050001,3.3131514,0.1349627,8,3.6040001,3.1580002
19810316,8.7090006,8.7339208,0.1623474,8,9.0820007,8.5320005
19810317,5.0070004,4.9861471,0.1480633,8,5.2610002,4.7340002
19810318,8.0480003,8.0407563,0.2502309,8,8.5800009,7.6640005
19810319,7.1030002,7.0967996,0.2182764,8,7.3570004,6.6520004
19810320,2.2850001,2.2966927,0.1274753,8,2.5040002,2.1500001
19810321,3.0070002,3.0441357,0.1379379,8,3.2720001,2.8380001
19810322,7.4250002,7.4352438,0.3145061,8,7.9810004,6.8740005
19810323,3.7260001,3.6941256,0.2985586,8,4.033,3.1060002
19810324,3.348,3.3362248,0.241567,8,3.8000002,2.9060001
19810325,5.7250004,5.7696966,0.2052145,8,6.2260003,5.4960003
19810326,9.0090008,9.0083705,0.4018156,8,9.6370001,8.2340002
19810327,10.8180008,10.898887,0.2592501,8,11.5200005,10.6050005
19810328,12.4590006,12.4562516,0.3866701,8,13.1170006,11.7520008
19810329,10.776001,10.8269273,0.2405404,8,11.4210005,10.651001
19810330,13.7390003,13.7750628,0.1201226,8,14.0090008,13.6070004
19810331,15.2200003,15.2204882,0.3694958,8,15.8360004,14.5350008
19810401,19.4770012,19.512139,0.2603426,8,20.1850014,19.2490005
19810402,15.1000004,15.0491612,0.3141664,8,15.4970007,14.401001
19810403,16.0960007,16.1420615,0.2688205,8,16.7660007,15.8010006
19810404,19.1270008,19.0689297,0.3478704,8,19.703001,18.4430008
19810405,21.5530014,21.4814572,0.1196377,8,21.6580009,21.2650013
19810406,13.7000008,13.5251104,0.2844927,8,13.7790003,12.9040003
19810407,7.1010003,7.0645374,0.3128137,8,7.5830002,6.4520001
19810408,10.1920004,10.1447613,0.3893288,8,10.7720003,9.3970003
19810409,14.3030005,14.3157604,0.29801,8,15.0510006,14.0490007
19810410,13.4900007,13.4511902,0.1625622,8,13.6950006,13.1360006
19810411,18.191,18.1626587,0.205792,8,18.427,17.7480011
19810412,22.1580009,22.0646111,0.2800652,8,22.361002,21.4910011
19810413,20.5790005,20.529965,0.232164,8,20.8410015,20.0720005
19810414,11.8110008,11.7084028,0.1474412,8,11.868001,11.4020004
19810415,16.7080002,16.6256777,0.22032,8,16.9110012,16.203001
19810416,11.4630003,11.3617471,0.4499211,8,11.8510008,10.4350004
19810417,14.5050011,14.384672,0.4217198,8,15.0380011,13.5460005
19810418,17.217001,17.1965903,0.1575735,8,17.4710007,16.894001
19810419,18.5810013,18.5320048,0.4340196,8,19.0500011,17.6560001
19810420,18.7580013,18.6686792,0.2505663,8,19.0840015,18.1710014
19810421,11.8620005,11.7448061,0.5209883,8,12.3170004,10.6670008
19810422,10.559001,10.4165319,0.6052776,8,11.0740004,9.1500006
19810423,15.9030008,15.7946274,0.3600119,8,16.368,15.1320009
19810424,18.7260017,18.680888,0.1781654,8,18.9880009,18.3340015
19810425,13.6850004,13.6822264,0.0746304,8,13.8010006,13.5770006
19810426,10.6070004,10.5921322,0.1942762,8,10.9660006,10.2610006
19810427,14.4300003,14.460263,0.2909878,8,15.1810007,14.2310009
