date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
1987337,124.4968381,134.8083696,39.4217041,106549,318,0
1987353,77,84.0097729,25.0021365,106549,193,0
1988001,22,23.5738562,8.5075205,106549,68,0
1988017,118.4907195,127.6046493,37.5666154,106549,304,0
1988033,90,97.6422423,28.5992739,106549,254,0
1988049,182.4961251,195.1577088,52.9871692,106549,475,0
1988065,261.4726586,273.8687111,67.753781,106549,701,0
1988081,571.4478434,586.1987479,116.921353,106549,1438,0
1988097,707.5110119,683.9302017,112.6933967,106549,1186,0
1988113,1195.6131126,1129.4468995,181.8659693,106549,1681,6
1988129,1315.4880912,1266.8342318,188.0735532,106549,2032,124
1988145,1315.4099511,1282.0569107,190.9123346,106549,2074,234
1988161,1259.4240413,1243.9087743,171.8564712,106549,2090,250
1988177,1219.4479702,1215.0571461,191.8078354,106549,2187,291
1988193,979.5062128,933.8925604,181.4487757,106549,1698,28
1988209,987.5821547,943.4792557,189.4742006,106549,1700,163
1988225,867.5035093,876.4395916,149.3829691,106549,1605,162
1988241,1139.5137062,1098.3730097,139.2991944,106549,1566,217
1988257,1027.569491,990.5270098,128.3507369,106549,1471,183
1988273,779.515538,742.5708337,103.3729197,106549,1103,30
1988289,553.4900377,536.973498,77.1141806,106549,814,0
1988305,349.4970081,352.8192005,60.6409784,106549,670,0
1988321,218.5105634,227.0925649,50.5032734,106549,444,0
1988337,104.484799,111.1207765,32.7067357,106549,259,0
1988353,122.498173,130.345085,37.3815919,106549,295,0
1989001,128.498258,137.9314554,38.7525269,106549,318,0
1989017,168.5001772,180.7042042,53.3913303,106549,441,0
1989033,134.4876054,145.3550558,41.9544796,106549,372,0
1989049,118.4818006,125.8667658,32.9642224,106549,299,0
1989065,265.5024664,276.1139174,65.1802993,106549,674,0
1989081,483.4556905,494.0602023,92.2671398,106549,1132,0
1989097,723.5031893,712.2196417,100.987804,106549,1294,7
1989113,1131.5099912,1093.9668571,142.7782922,106549,1748,182
1989129,1315.5874349,1250.1477311,178.1994009,106549,1940,161
1989145,1387.5137487,1326.2475405,189.3219521,106549,2112,178
1989161,1355.6247711,1298.8474472,171.8459689,106549,1993,240
1989177,1371.5344458,1309.3899062,182.0985091,106549,2142,292
1989193,1187.5774144,1106.0739033,211.4683695,106549,1835,30
1989209,1211.5269453,1155.308371,222.3357408,106549,1983,241
1989225,1091.5391669,1043.8570776,161.6158773,106549,1650,189
1989241,1059.4766255,1020.1905067,124.532545,106549,1561,164
1989257,827.5869914,786.1121886,106.064436,106549,1182,83
1989273,819.5837202,787.1598319,107.6935587,106549,1237,2
1989289,589.4987782,576.4128721,84.9894056,106549,1003,0
1989305,393.4740933,397.6094662,70.6749079,106549,744,0
1989321,176.4985193,184.9208473,46.3459799,106549,396,0
1989337,87,93.4025689,28.208479,106549,224,0
1989353,35,37.7551755,12.7018516,106549,98,0
1990001,152.4972951,164.2361436,47.4993628,106549,380,0
1990017,196.5035256,208.2884488,60.5452772,106549,480,0
1990033,241.4701457,257.8870733,71.6547756,106549,605,0
1990049,194.4864492,206.7630398,53.772579,106549,483,0
1990065,419.4291309,435.7378745,101.4104648,106549,1136,0
1990081,579.5580787,577.9806946,108.0604908,106549,1216,0
1990097,803.4863682,776.8409225,111.1368849,106549,1289,5
1990113,1275.4859751,1213.7887535,186.1343394,106549,1977,0
1990129,1447.6670373,1367.9779545,223.7042313,106549,2150,0
1990145,1371.5891359,1289.4687475,213.9550699,106549,2040,135
1990161,1331.4936287,1288.2469225,199.3478607,106549,2068,39
1990177,1123.3303425,1146.2266388,199.612332,106515,2049,113
1990193,1099.4761245,1066.0460472,156.2171612,106549,1751,33
1990209,1203.4715609,1157.7534211,163.1284457,106515,1888,202
1990225,1051.5335889,1009.3456506,137.3518522,106549,1622,6
1990241,1035.547457,1015.2805728,124.9806462,106549,1635,131
1990257,995.596063,956.7839195,128.1733264,106549,1448,131
1990273,739.5564476,716.6943704,107.1511964,106549,1205,0
1990289,525.4826745,512.4844852,77.1584649,106549,875,0
1990305,405.49208,413.4833626,77.3539133,106549,857,0
1990321,265.508343,275.3058054,65.3708178,106549,605,0
1990337,202.498958,213.0067585,53.8783672,106549,497,0
1990353,144.4926914,152.3601231,38.3659095,106549,374,0
1991001,140.4702961,148.1128554,40.3124618,106549,341,0
1991017,152.4937834,163.2986003,46.7801506,106549,411,0
1991033,201.4799848,212.849911,57.2990658,106549,527,0
1991049,261.492356,275.5692936,66.4540435,106549,651,0
1991065,413.4539295,425.6953906,83.1242668,106549,926,0
1991081,819.4765609,798.3476663,119.2112423,106549,1528,85
1991097,1059.5073649,1014.8531157,139.8280223,106549,1700,25
1991113,1331.5489583,1267.613455,178.8611475,106549,1894,74
1991129,1163.5792713,1109.2068618,159.5233228,106549,1722,113
1991145,1363.4395263,1311.2446634,195.1138203,106549,2176,164
1991161,1187.4692259,1144.5469619,164.574164,106549,1794,203
1991177,1139.463211,1124.7953204,161.7728164,106549,1906,371
1991193,1115.4866144,1087.3247784,164.786599,106549,1839,36
1991209,1235.562025,1185.6979865,172.0359471,106432,1893,187
1991225,1227.5537041,1171.9927554,172.8142403,106549,1871,44
1991241,1083.4619459,1058.2633893,133.4372039,106432,1693,195
1991257,931.4680883,899.1849904,114.6966071,106549,1360,145
1991273,819.576081,792.7192365,107.1647286,106549,1199,87
1991289,529.511916,528.0556298,80.6363957,106549,942,45
1991305,261.4645443,269.4222567,55.6159703,106549,556,0
1991321,237.504154,248.0269268,60.8185876,106549,545,0
1991337,156.486537,165.7929856,44.7285197,106549,367,0
1991353,91,97.2414321,27.0697955,106549,221,0
1992001,158.4835851,167.8242435,47.4687075,106488,366,0
1992017,126.4950991,134.5672054,41.1497916,106549,295,0
1992033,168.5017575,180.2385371,48.1971064,106488,445,0
1992049,317.4545662,333.6709648,80.231623,106549,848,0
1992065,329.5002874,342.1131234,69.6904514,106549,878,0
1992081,429.5014533,423.0529232,65.7623149,106549,888,0
1992097,891.5577353,860.9332379,117.9178547,106549,1462,64
1992113,1179.5312037,1117.3929969,163.3666135,106549,1662,93
1992129,1451.567249,1379.4603759,208.8644885,106549,2082,153
1992145,1267.5538043,1203.7019677,187.0649212,106549,1833,123
1992161,1219.5597871,1164.397224,169.579996,106549,1708,173
1992177,1251.5259124,1220.9643298,151.451276,106549,2007,406
1992193,1107.5306907,1094.6052855,151.4252011,106549,1867,55
1992209,1211.4714134,1168.8119802,160.7891892,106236,1842,101
1992225,1187.5757076,1141.993924,177.3709828,106549,1761,4
1992241,1083.573609,1046.6546387,137.0772444,106236,1608,122
1992257,1003.5896142,958.2458446,130.032713,106549,1398,119
1992273,843.5074811,808.1143182,116.4610785,106549,1221,53
1992289,521.4948401,516.4631627,81.1702103,106549,880,33
1992305,301.5023334,303.6999106,58.6772177,106549,585,22
1992321,240.4913286,250.1659143,57.794759,106549,511,0
1992337,118.5042027,126.4710513,34.499599,106549,278,0
1992353,152.5098487,161.7856142,43.1946769,106549,346,0
1993001,146.4897034,154.424506,41.466743,101294,279,0
1993017,142.4925779,153.0527266,42.1178307,101294,313,0
1993033,160.5004655,171.4799477,44.305675,101294,402,0
1993049,136.4993532,147.2410946,38.1920969,101294,398,0
1993065,209.4415828,223.3150791,52.7591477,101320,624,0
1993081,523.5649463,515.1988212,87.4767475,101320,1129,69
1993097,955.5705708,925.7955279,126.9775304,101320,1465,169
1993113,1195.5738949,1128.6487976,169.6173325,101320,1548,175
1993129,1459.5275497,1378.864582,217.2143749,101320,1858,128
1993145,1363.5497489,1296.699162,196.1042027,101320,1786,175
1993161,1179.5260484,1142.3053501,159.0103239,101320,1723,259
1993177,963.4957872,958.6225815,138.31602,101320,1611,326
1993193,1011.5827616,990.1815218,144.6699093,101320,1709,40
1993209,1067.5361511,1036.7756703,141.2910025,101216,1717,162
1993225,1003.5004052,972.3439561,147.9084443,101320,1570,5
1993241,987.5631798,951.8761858,141.3804501,101216,1509,126
1993257,1019.5751192,958.0781935,152.1188201,101320,1372,81
1993273,769.5159675,730.7265624,118.2849973,101320,977,64
1993289,489.471195,477.8352046,81.4063848,101320,769,46
1993305,265.4543061,278.375547,61.8445824,101320,663,26
1993321,237.5130345,250.1342742,62.8044987,101320,616,17
1993337,148.4783492,157.535931,40.579484,101320,384,0
1993353,67,72.8396455,20.7243742,101320,190,0
1994001,84,90.4227008,24.8134453,101320,223,0
1994017,103,110.1071117,31.8090384,101294,224,0
1994033,126.5070228,136.4860837,41.9458681,101320,285,1
1994049,221.4564372,236.7215153,69.2045976,101294,483,0
1994065,321.4944168,345.1797039,97.039363,101320,771,0
1994081,531.4796478,549.8543356,119.6244798,101320,1233,0
1994097,835.5223402,812.6459346,127.068331,101320,1499,56
1994113,1155.5421212,1097.4205357,165.5530687,101320,1646,142
1994129,1451.5783887,1372.3665126,212.4667838,101320,1839,143
1994145,1331.4776335,1261.9260408,201.4784668,101320,1713,147
1994161,1147.5218224,1095.2492147,164.4627874,101320,1612,226
1994177,1131.5409685,1075.5584708,160.6358694,101320,1608,195
1994193,1123.5170313,1064.4182109,160.1656721,101320,1576,157
1994209,1315.5515033,1246.9249868,191.1579571,101320,1821,175
1994225,1275.5623833,1212.121774,174.307593,101320,1775,169
1994241,1139.539097,1080.5566109,156.2960316,101320,1552,177
1994257,1035.5668951,975.2619475,153.7970421,101320,1405,148
1994273,733.5045311,688.7365345,118.7379832,101320,931,62
1994289,605.4884015,578.94105,98.031419,101320,823,58
1994305,337.5020592,348.7496953,70.1126349,101320,584,36
1994321,204.4960147,214.5436114,50.6046076,101320,406,24
1994337,200.4975358,210.4647465,51.3415799,101320,474,23
1994353,130.517927,139.2843324,38.3402165,101320,361,2
1995001,160.4950614,172.8002805,48.8110292,101320,441,3
1995017,136.5049514,150.328094,44.9937666,101320,403,0
1995033,94.4731971,102.8638543,31.0746997,101320,269,0
1995049,229.4677805,244.5214463,68.0045252,101320,578,0
1995065,443.3593954,471.5058013,119.7416206,101320,1108,6
1995081,603.4737921,614.6652626,113.830592,101320,1294,43
1995097,971.5685579,943.0415324,132.8544638,101320,1666,102
1995113,1291.5794235,1215.177006,204.4296711,101320,1535,189
1995129,1435.5491261,1356.2950702,216.6137984,101320,1791,220
1995145,1283.576972,1210.6856827,199.5496876,101320,1630,142
1995161,1443.627092,1360.7148581,221.0560209,101320,1782,192
1995177,1379.4637062,1314.2759751,190.6120725,101320,1861,268
1995193,1315.6052946,1272.9155278,158.6575005,101320,2002,255
1995209,1131.4669301,1086.5455556,143.3154419,101320,1653,217
1995225,1011.5035254,985.9840849,130.4586286,101320,1559,202
1995241,1115.5513666,1053.0821712,157.16353,101320,1521,129
1995257,907.6173087,846.7108374,144.7506237,101320,1149,95
1995273,883.5247703,830.7968746,135.532144,101320,1147,84
1995289,601.4218672,587.3690193,98.6763856,101320,858,59
1995305,230.5080251,234.9318416,45.5296961,101320,409,1
1995321,228.479166,240.3040754,54.984016,101320,433,0
1995337,124.5046004,134.2151603,35.648151,101320,253,4
1995353,60,66.8366814,22.3157672,101320,178,1
1996001,90,97.140638,27.2858246,101320,235,0
1996017,102.4893791,112.7224539,32.5823469,101320,253,0
1996033,104.4925118,114.1561593,31.9519955,101320,262,0
