date,tmax_med,tmax_mean,tmax_std,tmax_cnt,tmax_max,tmax_min
19810208,8.5690002,8.6270798,0.1138869,8,8.8509998,8.4890003
19810209,10.3140001,10.2928238,0.2042894,8,10.5279999,9.8570004
19810210,8.1330004,8.1011865,0.0670587,8,8.1789999,8.0030003
19810211,18.177,18.1610503,0.1509545,8,18.3729992,17.8379993
19810212,17.5429993,17.5027934,0.1514331,8,17.6490002,17.1739998
19810213,0.641,0.6356612,0.0286444,8,0.7,0.611
19810214,5.6459999,5.634675,0.0415684,8,5.7329998,5.5840001
19810215,12.9799995,12.9634046,0.0829006,8,13.0620003,12.7939997
19810216,16.1900005,16.1909124,0.0765922,8,16.3309994,16.0690002
19810217,19.2460003,19.2218347,0.0566999,8,19.3190002,19.1429996
19810218,20.4279995,20.4410238,0.1365913,8,20.7110004,20.2789993
19810219,22.184,22.1266989,0.1020191,8,22.2329998,21.9869995
19810220,16.198,16.1426764,0.0909663,8,16.2490005,16.0119991
19810221,17.2439995,17.2538739,0.0729922,8,17.3880005,17.1760006
19810222,18.5890007,18.5793652,0.0751544,8,18.7119999,18.4810009
19810223,18.368,18.368384,0.0337856,8,18.4529991,18.3390007
19810224,17.323,17.3156701,0.0202296,8,17.3640003,17.2950001
19810225,13.5150003,13.4909268,0.0437234,8,13.5970001,13.4370003
19810226,18.6609993,18.5806598,0.3142562,8,18.8570004,17.8789997
19810227,17.3269997,17.3430105,0.0437832,8,17.4370003,17.3139992
19810228,18.4370003,18.4617669,0.0622113,8,18.5860004,18.4060001
19810301,24.0459995,24.0533441,0.0496259,8,24.1609993,24.0119991
19810302,20.6529999,20.744934,0.1993673,8,21.1650009,20.4309998
19810303,16.4869995,16.4794663,0.0403342,8,16.5139999,16.4150009
19810304,11.9440002,11.9306883,0.0602511,8,11.9949999,11.8389997
19810305,13.3739996,13.4349754,0.1930695,8,13.8269997,13.1079998
19810306,13.9449997,13.9409504,0.1121103,8,14.0509996,13.6949997
19810307,11.993,11.9744757,0.0973325,8,12.1370001,11.8380003
19810308,9.9429998,9.9278344,0.1462805,8,10.1870003,9.7209997
19810309,12.4289999,12.4753098,0.1125471,8,12.7069998,12.3450003
19810310,13.5469999,13.5923181,0.1176632,8,13.8290005,13.4530001
19810311,13.5045004,13.4908081,0.0498221,8,13.5369997,13.3970003
19810312,15.8870001,15.882591,0.0338665,8,15.9060001,15.8079996
19810313,14.6190004,14.597362,0.066929,8,14.658,14.4829998
19810314,20.6800003,20.664586,0.0470288,8,20.7409992,20.5960007
19810315,11.8829999,11.8741299,0.0634023,8,11.9379997,11.7650003
19810316,18.9020004,18.9386721,0.0436257,8,19.0189991,18.8780003
19810317,14.5220003,14.5351875,0.0953323,8,14.7349997,14.382
19810318,16.4559994,16.4581503,0.0560459,8,16.5739994,16.4050007
19810319,15.3959999,15.4119898,0.228372,8,15.7150002,14.9989996
19810320,7.7540002,7.7579793,0.1860517,8,8.1280003,7.5229998
19810321,8.5819998,8.605347,0.1128878,8,8.8479996,8.4860001
19810322,13.9519997,13.9211431,0.1864587,8,14.25,13.6590004
19810323,6.7459998,6.7945138,0.0727925,8,6.9320002,6.6999998
19810324,7.9489999,7.9415891,0.0620101,8,8.0380001,7.823
19810325,14.7180004,14.6726224,0.1329057,8,14.8800001,14.4809999
19810326,17.5769997,17.5900345,0.103617,8,17.7730007,17.4370003
19810327,20.1210003,20.1168641,0.0379103,8,20.1590004,20.0510006
19810328,23.9869995,23.993867,0.0473971,8,24.0249996,23.8799992
19810329,19.8719997,19.8469122,0.1129265,8,19.9909992,19.6739998
19810330,22.3560009,22.366775,0.0641238,8,22.4580002,22.2420006
19810331,22.5340004,22.5320805,0.0564666,8,22.5930004,22.423000300000002
19810401,28.382,28.4320767,0.109091,8,28.6620007,28.3110008
19810402,22.7639999,22.7575748,0.1598151,8,22.9300003,22.4279995
19810403,26.6389999,26.674428,0.0318947,8,26.7240009,26.6089993
19810404,27.2940006,27.2991803,0.0521124,8,27.3780003,27.1949997
19810405,26.9039993,26.9467822,0.0477687,8,27.0009995,26.8630009
19810406,23.9279995,23.9883843,0.1607357,8,24.1800003,23.677
19810407,16.3290005,16.3465866,0.0348454,8,16.3950005,16.2919998
19810408,18.368,18.3774065,0.0202719,8,18.4020004,18.3349991
19810409,23.6560001,23.6555987,0.0652446,8,23.7250004,23.5200005
19810410,17.7630005,17.7601513,0.0677536,8,17.8250008,17.625
19810411,24.1609993,24.1931235,0.052339,8,24.2509995,24.0869999
19810412,29.4650002,29.4712146,0.3472675,8,29.9549999,28.8150005
19810413,29.4799995,29.5078587,0.0776167,8,29.6459999,29.3869991
19810414,15.0509996,15.037446600000001,0.0952439,8,15.1309996,14.8310003
19810415,24.7700005,24.8295412,0.0825663,8,24.9529991,24.7189999
19810416,20.5760002,20.5993776,0.0199716,8,20.6210003,20.5529995
19810417,22.8150005,22.8450474,0.0234451,8,22.8710003,22.8010006
