date,water_temp_C
1968-04-13,13.786033791664249
1968-04-14,13.068821134760015
1968-04-28,13.14871996532355
1968-04-30,12.072900979967201
1968-05-02,13.772762006050506
1968-05-06,14.397206222099086
1968-05-15,14.928077646648763
1968-05-26,14.831689627898456
1968-05-28,16.710652730547004
1968-05-30,13.664308727651338
1968-06-02,14.378706157304173
1968-06-03,17.423039283591695
1968-06-06,16.167313871026842
1968-06-09,17.687670645223275
1968-06-13,17.953508532819743
1968-06-16,19.563416345298794
1968-06-24,19.28913277594813
1968-06-26,19.914783517961595
1968-06-27,17.76475424853541
1968-06-30,19.554166312901337
1968-07-06,19.549742384363423
1968-07-10,20.084635562129385
1968-07-12,21.87404762649531
1968-07-14,22.320194116621906
1968-07-23,18.28476693940112
1968-07-23,19.806732414884063
1968-07-24,21.597351005214875
1968-07-24,22.582412426323717
1968-07-26,23.3867630695808
1968-07-29,22.847848138598554
1968-08-04,22.664322133495396
1968-08-07,23.82647475456134
1968-08-08,22.213751714830888
1968-08-11,22.92855131980535
1968-08-11,23.824061702631568
1968-08-19,23.818431248128768
1968-08-20,22.295661422002567
1968-08-21,20.05608111429376
1968-08-24,22.561499309599036
1968-08-27,22.738590509556136
1968-08-29,21.931022463726023
1968-09-02,21.48045204506151
1968-09-04,20.941939289400896
1968-09-07,20.491771046058012
1968-09-12,19.86169637550663
1968-09-13,18.87583060375453
1968-09-13,18.159422297493556
1968-09-16,18.963370765429012
1968-09-28,18.95532725899644
1968-09-30,17.162697792057486
1968-10-09,18.589883950076636
1968-10-11,19.125983653807484
1968-10-12,19.841185434103572
1968-10-14,19.213523815481963
1968-10-16,19.74922134389118
1968-10-16,18.31640473136923
1968-10-17,17.240987921334508
1968-10-18,17.867040838669606
1968-10-17,15.181314040834202
1968-10-20,15.17930316422606
1968-10-22,13.65532681213497
1968-10-22,12.043408123047772
1968-10-22,10.073285280830088
1968-10-31,9.97810378804467
1968-11-01,8.992238016292571
1968-11-02,7.916419030936222
1968-11-05,7.3771019246323455
1968-11-07,6.659487092406483
1968-11-08,5.763172358937009
1968-11-10,8.180246041924544
1968-11-12,9.96965810629047
1968-11-13,10.327460084099332
1968-11-13,8.536037143125263
1968-11-14,6.475961087303325
1968-11-14,4.68453814632926
1968-11-16,3.340066046125038
1968-11-17,4.86162934628636
1968-11-18,5.756737553790952
1968-11-26,5.572005022722905
1968-11-30,3.4199648766885744
1968-12-03,1.2687290812975078
1968-12-04,1.9843330369152241
1968-12-05,2.789890206137194
1968-12-08,1.9819199849854527
1968-12-08,1.1755584651202255
1968-12-11,2.069460146659935
1968-12-11,2.6959152393166548
1968-12-13,1.3514431391124404
1968-12-16,1.1703301859390507
1968-12-18,1.4377767748220336
1968-12-22,1.793165700701131
1968-12-24,0.9859998301926396
1968-12-27,0.7149336634150032
1968-12-29,1.1618845041848544
1969-01-02,1.159069276933458
1969-01-06,1.5144582028125484
1969-01-07,0.6181434693430674
1969-01-09,-0.009920324600173558
1969-01-12,0.07721766175268385
1969-01-12,2.226442580535611
1969-01-13,2.9424487114749596
1969-01-16,2.5822336817363265
1969-01-17,2.939633484223563
1969-01-17,3.9246949053324016
1969-01-18,5.894013396906825
1969-01-21,5.3546962906029485
1969-01-25,4.814977008977447
1969-01-28,4.096155650786699
1969-01-30,3.468091856843465
1969-01-31,3.0199344901087173
1969-02-03,2.8388215369353347
1969-02-05,1.4043962231268665
1969-02-07,2.567353194836066
1969-02-07,3.8210677307927696
1969-02-10,4.087709969032495
1969-02-10,4.714165061689226
1969-02-13,5.8767198580768
1969-02-14,5.0699561628899446
1969-02-16,4.978796423320805
1969-02-17,4.172434903455581
1969-02-21,3.8118176983953163
1969-02-25,3.8981513341049165
1969-03-01,4.253942435305632
1969-03-02,4.969546390923348
1969-03-04,5.7738970341804325
1969-03-07,6.488696639154899
1969-03-10,7.023991992242486
1969-03-11,7.5604938712949625
1969-03-13,7.827538284856313
1969-03-17,7.825125232926542
1969-03-17,8.630682402148512
1969-03-17,9.257539670126867
1969-03-17,10.063499014670462
1969-03-19,11.316409199983916
1969-03-19,12.749225812505866
1969-03-22,13.642725318723944
1969-03-22,16.59790958205047
1969-03-23,18.835881188472765
1969-03-24,15.342586344807248
1969-03-25,13.282108113663686
1969-03-28,14.08645875692077
1969-03-28,14.802464887860115
1969-03-29,15.697170920043078
1969-03-31,16.770979028791288
1969-04-04,16.76776162621826
1969-04-04,15.693551342148421
1969-04-03,13.18692662087826
1969-04-06,13.900921875209466
1969-04-10,13.808957784997073
1969-04-11,13.270847204658086
1969-04-13,13.806544733067302
1969-04-14,14.880352841815508
1969-04-19,15.951747898633943
1969-04-20,17.473311198795262
1969-04-21,18.457970444582475
1969-04-23,19.620927416291675
1969-04-25,18.72421050750057
1969-04-25,17.38054275793961
1969-04-26,16.036875008378654
1969-04-27,13.707341487065595
1969-04-30,15.854555529240379
1969-05-01,16.749663736744974
1969-05-04,16.38944870700634
1969-05-06,17.73110557995916
1969-05-07,18.626213787463747
1969-05-09,16.833986495846425
1969-05-11,17.72829035270776
1969-05-12,17.010675520481897
1969-05-15,16.47135841417802
1969-05-21,16.825540814092225
1969-06-01,17.355205712677016
1969-06-03,17.980856454690485
1969-06-03,18.876366837516706
1969-06-04,19.950577121586537
1969-06-06,21.292636169860984
1969-06-08,22.6342930428138
1969-06-09,21.290223117931212
1969-06-10,19.946153193048623
1969-06-11,19.050240634900778
1969-06-13,21.018754775831944
1969-06-15,22.182113922862776
1969-06-16,20.658941921414943
1969-06-16,19.942131439832337
1969-06-19,20.11962481511107
